title,building1,building2,price,bedroom,bathroom,area
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
"Fully Furnished 1 Bedroom for Rent in The WAVES Tower, Dubai Marina",Dubai Marina,The Waves Tower A,70000,1 Bedrooms,2 Bathrooms,813,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/10/fully-furnished-1-bedroom-for-rent-in-the--2/
Vacant Chiller Free Full Marina View 1 Bed For Rent,Dubai Marina,Time Place Tower,70000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/10/vacant-chiller-free-full-marina-view-1-bed-2/
Attractive Price Vacant Furnished One Bedroom in Torch,Dubai Marina,The Torch,70000,1 Bedrooms,1 Bathrooms,886,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/attractive-price-vacant-furnished-one-bedr-2/
Cheapest 1 Bedroom in Elite Residence Dubai Marina,Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/cheapest-1-bedroom-in-elite-residence-duba-2/
1 BED APT OPPOSITE TO METRO STATION EXCELLENT BUILDING 70K,Dubai Marina,The Cascades,70000,1 Bedrooms,2 Bathrooms,890,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/1-bed-apt-opposite-to-metro-station-excell-2/
Hot Offer|1 Bed Room Apt|Sea View|Chiller Free,Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,736,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/hot-offer-1-bed-room-apt-sea-view-chiller--2-2/
Sulafa Tower |  Spacious 1BR |  SZR View,Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/sulafa-tower-spacious-1br-szr-view-2/
Spectacular Views! | Convenient Location,Dubai Marina,Marina Diamond 5,70000,1 Bedrooms,1 Bathrooms,768,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/spectacular-views-convenient-location-2/
1 Br Garden Apt | Unfurnished | Close to Metro,Dubai Marina,Marina Diamond 1,70000,1 Bedrooms,1 Bathrooms,752,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/best-deal-1-br-apt-w-private-garden-close--2/
"SPACIOUS 1BR FOR RENT IN MARINA ELITE RESIDENCE,,70K",Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,920,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/spacious-1br-for-rent-in-marina-elite-resi-2/
"Fully furnished 1 BHK with balcony in Diamond 5 Dubai Marina for rent AED 70,000/2",Dubai Marina,Marina Diamond 5,70000,1 Bedrooms,2 Bathrooms,666,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/fully-furnished-1-bhk-with-balcony-in-diam-2/
LARGE 1 BED APT WITH BIG BALCONY. (CHILLER FREE) NEXT TO METRO 70K,Dubai Marina,The Cascades,70000,1 Bedrooms,2 Bathrooms,890,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/large-1-bed-apt-with-big-balcony-chiller-f-2/
PRIVATE COURTYARD/GARDEN MARINA DIAMOND 1 BR,Dubai Marina,Marina Diamond 1,70000,1 Bedrooms,1 Bathrooms,1040,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/private-courtyardgarden-marina-diamond-1-b-2/
LARGE 1 BED APT IN MARINA OPPOSITE TO METRO STATION 70K,Dubai Marina,The Cascades,70000,1 Bedrooms,2 Bathrooms,890,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/large-1-bed-apt-in-marina-opposite-to-metr-2/
Sea View |1B/R+ hall in Bay Central West,Dubai Marina,Bay Central,70000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/sea-view-1br-hall-in-bay-central-west-2/
MUST SEE! FULLY-FURNISHED 1 BEDROOM IN MARINA DIAMOND FOR RENT! CALL NOW!,Dubai Marina,Marina Diamond 4,70000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/must-see-fully-furnished-1-bedroom-in-mari-2/
1 bhk for rent in Mag218  just 70000/ 3 cheqs,Dubai Marina,MAG 218 Tower,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/marina-view-1-bhk-for-rent-in-mag218-just--2/
Chiller Free Fully Furnished 1 Bedroom Apartment for Rent,Dubai Marina,Marina Diamond 2,70000,1 Bedrooms,1 Bathrooms,666,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/chiller-free-fully-furnished-1-bedroom-apa-2/
Unfurnished 1BHK |Marina View| 12Cheques,Dubai Marina,DEC Towers,70000,1 Bedrooms,2 Bathrooms,950,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/unfurnished-1bhk-marina-view-12cheques-2/
Huge  Bright| 1 Bed| Chiller free| Mag 218 @70K Only,Dubai Marina,MAG 218 Tower,70000,1 Bedrooms,2 Bathrooms,920,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/3/huge-amp-bright-1-bed-chiller-free-mag-218-2/
"SPACIOUS 1BR FOR RENT IN MARINA CROWN TOWER,,70K",Dubai Marina,Marina Crown,70000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/2/spacious-1br-for-rent-in-marina-crown-towe-2-3/
Elite Residence: High floor 1 Bedroom 70-k Dubai Marina,Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/elite-residence-high-floor-1-bedroom-70-k--2/
Specious One bed apartment with balcony well maintained,Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,950,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/specious-one-bed-apartment-with-balcony-we-2/
Furnished 1B/R for rent in Dubai Marina AED70K,Dubai Marina,Escan Tower,70000,1 Bedrooms,2 Bathrooms,780,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/furnished-1br-for-rent-in-dubai-marina-aed-2/
Dubai Marina furnished 1BHK for rent in Escan Tower AED70K,Dubai Marina,Escan Tower,70000,1 Bedrooms,2 Bathrooms,780,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/dubai-marina-furnished-1bhk-for-rent-in-es-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
Negotiable!! 1 Bed in Time Place Marina.,Dubai Marina,Time Place Tower,70000,1 Bedrooms,1 Bathrooms,787,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/negotiable-1-bed-in-time-place-marina-2/
One Bedroom apartment | private garden | Unfurnished | Dubai Marina,Dubai Marina,Marina Diamond 1,70000,1 Bedrooms,1 Bathrooms,752,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/one-bedroom-apartment-private-garden-unfur-2/
Vacant | Higher Floor | 1 Bedroom | Multiple Cheques,Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/vacant-higher-floor-1-bedroom-multiple-che-2/
Spacious|Huge and Bright|1BR|Mag 218@70K,Dubai Marina,MAG 218 Tower,70000,1 Bedrooms,2 Bathrooms,920,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/spacious-huge-and-bright-1br-mag-218-70k-2/
Reduce rent  1bhk  in MAG 218 just 70k,Dubai Marina,MAG 218 Tower,70000,1 Bedrooms,2 Bathrooms,864,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1bhk-in-mag-218-just-75k-2/
Dubai Marina 1 Bedroom!,Dubai Marina,Orra Marina,70000,1 Bedrooms,1 Bathrooms,1098,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/dubai-marina-1-bedroom--2/
Dubai Marina Huge 1 Bedroom Hall With Garden Next to Damac Metro Station,Dubai Marina,Marina Diamond 1,70000,1 Bedrooms,1 Bathrooms,1034,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/dubai-marina-huge-1-bedroom-hall-with-gard-2/
Unfurnished | Spacious | Partial Sea View,Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,960,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/unfurnished-1br-elite-residence-sea-view-2/
Spacious 1 BR | High Floor |Dubai Marina,Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,916,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/spacious-1-br-high-floor-dubai-marina-2/
Large 1 bedroom Apartment for rent in Dorrabay,Dubai Marina,Dorra Bay,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/large-1-bedroom-apartment-for-rent-in-dorr-2/
Spacious unfurnished apartment Marina view,Dubai Marina,Marina Pinnacle,70000,1 Bedrooms,1 Bathrooms,761,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/spacious-unfurnished-apartment-marina-view-2/
Big 1 bed+Laundry palladium tower 70k,Dubai Marina,Palladium,70000,1 Bedrooms,2 Bathrooms,1080,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/big-1-bed-laundry-palladium-tower-70k-2/
1BHK IN PRINCESS  JUST IN 70K  IN MARINA,Dubai Marina,The Princess Tower,70000,1 Bedrooms,2 Bathrooms,922,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/1bed-room-in-princess-just-in-73k-in-marin-2/
"Stunning 1 Bed for rent in Sulafa Tower,",Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,940,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/stunning-1-bed-for-rent-in-sulafa-tower--2/
"Large 1 Bedroom with Laundry room for rent in Opal Tower, Dubai Marina",Dubai Marina,Opal Marina,70000,1 Bedrooms,2 Bathrooms,1064,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/27/large-1-bedroom-with-laundry-room-for-rent-2/
"COMMISSION FREE, CHILLER FREE FULLY FURNISHED 1BHK @ DUBAI MARINA DIRECT FROM OWNER",Dubai Marina,Marina Diamond 2,70000,1 Bedrooms,1 Bathrooms,666,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/27/chiller-free-fully-furnished-1bhk-marina-d-2/
1 Bedroom Apartment - TEST ONLY,Dubai Marina,23 Marina,70000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/1-bedroom-apartment-test-only-2/
Hot Price 1 Bedroom @70k |Princess Tower,Dubai Marina,The Princess Tower,70000,1 Bedrooms,2 Bathrooms,864,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/hot-price-1-bedroom-70k-princess-tower-2/
Brand New 1 Bedroom Apartment in Dubai Marina,Dubai Marina,,70000,1 Bedrooms,1 Bathrooms,857,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/brand-new-1-bedroom-apartment-in-dubai-mar-2-6/
Brand New 1 Bedroom Apartment in Dubai Marina,Dubai Marina,,70000,1 Bedrooms,1 Bathrooms,870,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/brand-new-1-bedroom-apartment-in-dubai-mar-2-4/
Stunning Mid Floor Unit With Marina View,Dubai Marina,DEC Towers,70000,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/stunning-mid-floor-unit-with-marina-view-2/
Marina View A | Huge 1BR | Well Designed,Dubai Marina,Marina View Tower A,70000,1 Bedrooms,2 Bathrooms,1270,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/marina-view-a-huge-1br-well-designed-2/
Unfurnished | Large | 1bedroom Apartment,Dubai Marina,The Torch,70000,1 Bedrooms,1 Bathrooms,886,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/unfurnished-large-1bedroom-apartment-2/
Marina View 1BHK|Pool lGYM|Parking 70/12,Dubai Marina,Marina Diamond 5,70000,1 Bedrooms,1 Bathrooms,714,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/marina-view-1bhk-balcony-poolgym-parking-2/
"Marina view, Furnished 1BHK ,Near Metro",Dubai Marina,Marina Diamond 4,70000,1 Bedrooms,1 Bathrooms,777,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/marina-view-furnished-1bhk-in-marina-diamo-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
Hot Price 1 Bedroom @70k |Princess Tower,Dubai Marina,The Princess Tower,70000,1 Bedrooms,2 Bathrooms,864,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/hot-price-1-bedroom-72k-princess-tower-2/
1 Bedroom| DEC Tower 2 | Dubai Marina | For Rent,Dubai Marina,DEC Towers,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/1-bedroom-dec-tower-2-dubai-marina-for-ren-2/
Price Reduced! 1 BR for rent in Marina Views Tower,Dubai Marina,Marina View Tower A,70000,1 Bedrooms,1 Bathrooms,749,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/price-reduced-1-br-for-rent-in-marina-view-2/
LARGE 1 BEDROOM CLOSE TO METRO CHILLER FREE,Dubai Marina,The Cascades,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/large-1-bedroom-close-to-metro-chiller-fre-2/
Amazing Sea View on High Floor 1 Bedroom,Dubai Marina,The Torch,70000,1 Bedrooms,2 Bathrooms,810,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/amazing-sea-view-on-high-floor-1-bedroom-2/
1BR Apartment|Marina Pinnacle|Negotiable,Dubai Marina,Marina Pinnacle,70000,,,,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/fully-furnished-huge-1br-unit-negotiable-2/
"Cheapest Price,1Br Princes Tower Spacious",Dubai Marina,The Princess Tower,70000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/cheapest-price-1br-princes-tower-spacious-2/
High floor 1 bedroom with amazing views,Dubai Marina,The Torch,70000,1 Bedrooms,2 Bathrooms,808,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/20/high-floor-1-bedroom-with-amazing-views-2/
1 BED APT CHILLER FREE IN TIME PLACE TOWER 70K,Dubai Marina,Time Place Tower,70000,1 Bedrooms,1 Bathrooms,820,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/20/1-bed-apt-chiller-free-in-time-place-tower-2/
Huge One bedroom| Chiller free| Near to trump,Dubai Marina,MAG 218 Tower,70000,1 Bedrooms,2 Bathrooms,890,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/huge-one-bedroom-chiller-free-near-to-trum-2/
Chiller Free| Partial Golf course view| Near to trump,Dubai Marina,MAG 218 Tower,70000,1 Bedrooms,2 Bathrooms,890,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/chiller-free-partial-golf-course-view-near-2/
1 Bedroom for rent in Prime location Marina Heights Tower,Dubai Marina,Marina Heights,70000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/1-bedroom-for-rent-in-prime-location-marin-2/
Fully Furnished One Bed Partial Sea View,Dubai Marina,Marina Pinnacle,70000,1 Bedrooms,1 Bathrooms,837,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/fully-furnished-one-bed-partial-sea-view-2/
price reduced one bedroom apartment for rent in dubai marina elite residence neat  clean with b,Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/one-bedroom-apartment-for-rent-in-dubai-ma-2/
"1BR Apt, Well Maintained,  Marina View Tower A",Dubai Marina,Marina View Tower A,70000,1 Bedrooms,2 Bathrooms,762,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/1br-apt-well-maintained-marina-view-tower--2/
1 BED APARTMENT IN AZURE ( DUBAI MARINA),Dubai Marina,Azure,70000,1 Bedrooms,2 Bathrooms,808,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/1-bed-apartment-in-azure-dubai-marina--2/
AZURE ( DUBAI MARINA ) 1 BED APARTMENT,Dubai Marina,Azure,70000,1 Bedrooms,2 Bathrooms,808,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/azure-dubai-marina-1-bed-apartment-2/
Large1BR for Rent in the heart of Marina,Dubai Marina,Marina Pearl,70000,1 Bedrooms,2 Bathrooms,958,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/large1br-for-rent-in-the-heart-of-marina-2/
Down town dubai Burj al najoom furnished one with balcony 70,Dubai Marina,Burj Al Nujoom,70000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/down-town-dubai-burj-al-najoom-furnished-o-2/
Exclusive / 2mins walk to the beach/ONE CHEQUE,Dubai Marina,The Princess Tower,70000,1 Bedrooms,2 Bathrooms,862,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/brilliant-1-bedroom-for-rent-2/
1 bedroom Vacant  Sea View Middle Floor,Dubai Marina,The Princess Tower,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/1-bedroom-vacant-sea-view-middle-floor-2/
"Luxury Large 1 Bedroom for rent in Opal, Dubai Marina.",Dubai Marina,Opal Marina,70000,1 Bedrooms,2 Bathrooms,1064,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/luxury-large-1-bedroom-for-rent-in-opal-du-2/
1 BED APT CHILLER FREE WITH BALCONY IN TIME PLACE TOWER 70K,Dubai Marina,Time Place Tower,70000,1 Bedrooms,1 Bathrooms,840,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/1-bed-apt-chiller-free-with-balcony-in-tim-2/
Unfurnished One Bedroom l Mid Floor l Vacant ready to move,Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/unfurnished-one-bedroom-l-mid-floor-l-vaca-2/
Palm Sea View | Furnished or Unfurnished,Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,789,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/real-sea-and-palm-views-unfurnished--2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
Vacant |1 Bed | Balcony | Free Chiller |,Dubai Marina,The Royal Oceanic,70000,1 Bedrooms,2 Bathrooms,763,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/13/vacant-1-bed-balcony-free-chiller--2/
Vacant and ready to move in  / fully furnished,Dubai Marina,Marina Pinnacle,70000,1 Bedrooms,2 Bathrooms,761,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/11/vacant-fully-furnished-partial-sea-view-2/
"1 BR Apartment in Marina View Tower A, Dubai Marina!!",Dubai Marina,Marina View Tower A,70000,1 Bedrooms,2 Bathrooms,1265,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/11/1-br-apartment-in-marina-view-tower-a-duba-2/
Furnished with Balcony in DEC Tower | Great Value,Dubai Marina,DEC Towers,70000,1 Bedrooms,2 Bathrooms,948,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/furnished-with-balcony-in-dec-tower-great--2/
Best Price in the Market  1 Bedroom for Rent @70K,Dubai Marina,Marina Crown,70000,1 Bedrooms,2 Bathrooms,838,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/best-price-in-the-market-1-bedroom-for-ren-2/
Stunning 1 Bed for rent in Sulafa Tower,Dubai Marina,,70000,1 Bedrooms,1 Bathrooms,736,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/stunning-1-bed-for-rent-in-sulafa-tower-2/
Vacant Ready to Move In | 1BR |Unfurnished| Mid Floor | Sea View,Dubai Marina,The Princess Tower,70000,1 Bedrooms,2 Bathrooms,922,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/25th-oct-avail-1br-unfurnished-mid-floor-s-2/
Unfurnished|Chiller Free / Vacant December,Dubai Marina,MAG 218 Tower,70000,1 Bedrooms,2 Bathrooms,885,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/mag218-large-1b-unfurnish-chiller-free-2/
FULL SEA VIEW LARGE 1 BEDROOM APARTMENT FOR RENT,Dubai Marina,Opal Marina,70000,1 Bedrooms,2 Bathrooms,1064,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/8/very-large-1-bedroom-apartment-near-metro--2/
BIGGEST OPEN HOUSE 6TH OCT | 1 MONTH FREE,Dubai Marina,,70000,1 Bedrooms,2 Bathrooms,947,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/5/biggest-open-house-6th-oct-1-month-free-2-3/
Beautiful 1BR with Beautiful View @Marina,Dubai Marina,Manchester Tower,70000,1 Bedrooms,2 Bathrooms,556,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/5/furnished-1br-with-beautiful-view-marina-2/
Rent Reduced /Chiller free/ Dubai Marina near Metro :),Dubai Marina,Escan Tower,70000,1 Bedrooms,1 Bathrooms,843,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/5/rent-reduced-chiller-free-dubai-marina-nea-2/
1 B/R Apt. in THE WAVES A - Dubai Marina,Dubai Marina,The Waves Tower A,70000,1 Bedrooms,1 Bathrooms,889,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/1-br-apt-in-the-waves-a-dubai-marina-2/
1 Bedroom Offer Sulafa Tower Dubai Marina,Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,740,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/1-bedroom-offer-sulafa-tower-dubai-marina-2/
High class furnished 1 bedroom close to Metro Rent,Dubai Marina,The Waves Tower A,70000,1 Bedrooms,2 Bathrooms,813,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/high-class-furnished-1-bedroom-close-to-me-2/
One Bedroom Spacious Unit in Sulafa Tower,Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,740,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/one-bedroom-spacious-unit-in-sulafa-tower-2/
Pool View | Low Floor | Balcony | Unfurnished,Dubai Marina,The Royal Oceanic,70000,1 Bedrooms,2 Bathrooms,763,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/2/pool-view-low-floor-balcony-unfurnished-2/
1 Month Free | 1 Bed Torch Tower | Dubai Marina,Dubai Marina,The Torch,70000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/1/1-month-free-1-bed-torch-tower-dubai-marin-2/
"Large 1 Bedroom Laundry for Rent in Opal tower, Dubai Marina",Dubai Marina,Opal Marina,70000,1 Bedrooms,2 Bathrooms,1068,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/24/large-1-bedroom-laundry-for-rent-in-opal-t-2/
Spacious Furnished 1BR apartment with Balcony,Dubai Marina,,70000,1 Bedrooms,2 Bathrooms,880,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/23/spacious-furnished-1br-apartment-with-balc-2/
"*Excellent Deal 1BR In Sulafa Tower With Ac Free, CallO529243459",Dubai Marina,Sulafa Tower,70000,1 Bedrooms,2 Bathrooms,1100,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/23/-affordable-deal-1br-in-sulafa-tower-with--2/
"1BR, Partial Sea, Marina View,O529243459",Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,1135,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/23/amazing-1br-in-elite-residence-w-partial-s-2/
Furnished One Bedroom Apartment in Dubai Marina,Dubai Marina,Time Place Tower,70000,1 Bedrooms,1 Bathrooms,692,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/16/furnished-one-bedroom-apartment-in-dubai-m-2/
Spacious | Great Condition. 1 Bed Available,Dubai Marina,Elite Residence,70000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/12/spacious-great-condition-1-bed-available-2/
Lovely 1 Bedroom Apartment for Rent in Marina Pearl Tower,Dubai Marina,Marina Pearl,70000,1 Bedrooms,1 Bathrooms,958,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/9/lovely-1-bedroom-apartment-for-rent-in-mar-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
Bright|Chiller free| 1Bed | in Yacht Bay@70k only,Dubai Marina,Yacht Bay,70000,1 Bedrooms,2 Bathrooms,820,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/6/bright-chiller-free-1bed-in-yacht-bay-70k--2/
FULLY FURNISHED / 12 CHEQUES / VIEW NOW,Dubai Marina,Marina View Tower B,70000,,,,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/4/exclusive-bills-included-12-cheques-furnis-2/
Spacious and near Tram 1 BedRm in  Marina Pinnacle,Dubai Marina,Marina Pinnacle,70000,1 Bedrooms,2 Bathrooms,875,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/2/spacious-and-near-tram-1-bedrm-in-marina-p-2/
"Large 1 Bedroom Laundry for Rent in Opal tower, Dubai Marina. INDIVIDUAL.",Dubai Marina,Opal Marina,70000,1 Bedrooms,2 Bathrooms,1068,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/2/large-1-bedroom-laundry-for-rent-in-opal-t-2/
